年度,選舉種類,選舉種類名稱,admin_code_system,省市,縣市,選舉區,選舉區_語意,鄉鎮市區,村里,行政區名稱,縣市_正規化,鄉鎮市區_正規化,號次,姓名,政黨代號,政黨名稱,性別,年齡,年齡_原始,現任,當選註記,當選註記語意,當選,當選_依據
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,10,廖國棟Sufin．Siluko,1,中國國民黨,1,64,64,Y,*,當選,Y,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,伍麗華Saidhai．Tahovecahe,16,民主進步黨,2,50,50,N,*,當選,Y,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,林曉婷,999,無黨籍及未經政黨推薦,2,42,42,N,,未當選,N,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,高畹芯,348,喜樂島聯盟,2,60,60,N,,未當選,N,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,高金素梅,999,無黨籍及未經政黨推薦,2,54,54,Y,*,當選,Y,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,張曜羣Lawpaw Buya,79,綠黨,1,38,38,N,,未當選,N,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,撒卡伊,355,台澎黨,1,68,68,N,,未當選,N,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,伊斯坦大．貝雅夫．正福Istanda．Paingav,999,無黨籍及未經政黨推薦,1,63,63,N,,未當選,N,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,章正輝Lemaljiz．Kusaza,1,中國國民黨,1,56,56,N,,未當選,N,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,錢宥均,346,安定力量,1,38,38,N,,未當選,N,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,10,孔文吉,1,中國國民黨,1,62,62,Y,*,當選,Y,elctks_檔別合計
2020,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,11,林信義,999,無黨籍及未經政黨推薦,1,68,68,N,,未當選,N,elctks_檔別合計
2024,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,高美珠,999,無黨籍及未經政黨推薦,2,53,53,N,,未當選,N,elctks_檔別合計
2024,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,陳瑩,16,民主進步黨,2,51,51,Y,*,當選,Y,elctks_檔別合計
2024,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,陳國榮,356,台灣維新,1,61,61,N,,未當選,N,elctks_檔別合計
2024,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,陳政宗,999,無黨籍及未經政黨推薦,1,50,50,N,,未當選,N,elctks_檔別合計
2024,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,忠仁．達祿斯,999,無黨籍及未經政黨推薦,1,62,62,N,,未當選,N,elctks_檔別合計
2024,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,吳建智咖啡哥,999,無黨籍及未經政黨推薦,1,41,41,N,,未當選,N,elctks_檔別合計
2024,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,黃仁,1,中國國民黨,1,61,61,N,*,當選,Y,elctks_檔別合計
2024,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,米甘幹．理佛克,74,新黨,1,66,66,N,,未當選,N,elctks_檔別合計
2024,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,鄭天財 Sra‧Kacaw,1,中國國民黨,1,67,67,Y,*,當選,Y,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,林世偉,999,無黨籍及未經政黨推薦,1,56,56,N,,未當選,N,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,李我要單列族名我的布農族名字是Savungaz Valincinan,999,無黨籍及未經政黨推薦,2,36,36,N,,未當選,N,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,盧縣一,1,中國國民黨,1,55,55,N,*,當選,Y,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,林果,999,無黨籍及未經政黨推薦,2,46,46,N,,未當選,N,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,張子孝,999,無黨籍及未經政黨推薦,1,63,63,N,,未當選,N,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,胡黃廣文,350,台灣民眾黨,1,54,54,N,,未當選,N,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,高畹芯,382,司法改革黨,2,64,64,N,,未當選,N,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,高金素梅,999,無黨籍及未經政黨推薦,2,58,58,Y,*,當選,Y,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,孔文吉,1,中國國民黨,1,66,66,Y,,未當選,N,elctks_檔別合計
2024,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,10,伍麗華 Saidhai．Tahovecahe,16,民主進步黨,2,54,54,Y,*,當選,Y,elctks_檔別合計
