年度,選舉種類,選舉種類名稱,admin_code_system,省市,縣市,選舉區,選舉區_語意,鄉鎮市區,村里,行政區名稱,縣市_正規化,鄉鎮市區_正規化,號次,姓名,政黨代號,政黨名稱,性別,年齡,年齡_原始,現任,當選註記,當選註記語意,當選,當選_依據
1998,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,羅法尼耀學海,99,無,1,,99,N,,未當選,N,elctks_檔別合計
1998,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,全文盛,1,中國國民黨,1,,99,Y,,未當選,N,elctks_檔別合計
1998,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,尤哈尼‧伊斯卡卡夫特,2,民主進步黨,1,,99,N,,未當選,N,elctks_檔別合計
1998,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,葉神保,6,民主聯盟,1,,99,N,,未當選,N,elctks_檔別合計
1998,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,高揚昇,1,中國國民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
1998,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,曾華德,1,中國國民黨,1,,99,N,*,當選,Y,elctks_檔別合計
1998,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,林春德,1,中國國民黨,1,,99,N,*,當選,Y,elctks_檔別合計
2001,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,章仁香,1,中國國民黨,2,,99,Y,*,當選,Y,elctks_檔別合計
2001,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,莊金生,1,中國國民黨,1,,99,N,,未當選,N,elctks_檔別合計
2001,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,李泰康,99,無,1,,99,N,,未當選,N,elctks_檔別合計
2001,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,楊仁福,1,中國國民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2001,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,林正二,3,親民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2001,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,楊德金,3,親民黨,1,,99,N,,未當選,N,elctks_檔別合計
2001,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,楊仁煌,4,台灣團結聯盟,1,,99,N,,未當選,N,elctks_檔別合計
2001,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,廖國棟,1,中國國民黨,1,,99,N,*,當選,Y,elctks_檔別合計
2001,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,陳義信,2,民主進步黨,1,,99,N,,未當選,N,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,高金素梅,99,無,2,,99,N,*,當選,Y,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,李文來,3,親民黨,1,,99,N,,未當選,N,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,何信軍,1,中國國民黨,1,,99,N,,未當選,N,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,余夢蝶,3,親民黨,1,,99,N,,未當選,N,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,伊掃魯刀,8,中國台灣原住民黨,1,,99,N,,未當選,N,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,全文盛,1,中國國民黨,1,,99,N,,未當選,N,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,瓦歷斯‧貝林,9,台灣吾黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,高揚昇,1,中國國民黨,1,,99,Y,,未當選,N,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,林文生,4,台灣團結聯盟,1,,99,N,,未當選,N,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,10,林春德,3,親民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,11,巴燕‧達魯,2,民主進步黨,1,,99,N,,未當選,N,elctks_檔別合計
2001,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,12,曾華德,1,中國國民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2004,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,楊仁福,1,中國國民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2004,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,宋進財,7,無黨團結聯盟,1,,99,N,,未當選,N,elctks_檔別合計
2004,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,章賢生,99,無,1,,99,N,,未當選,N,elctks_檔別合計
2004,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,陳瑩,2,民主進步黨,2,,99,N,*,當選,Y,elctks_檔別合計
2004,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,王清堅,7,無黨團結聯盟,1,,99,N,,未當選,N,elctks_檔別合計
2004,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,廖國棟,1,中國國民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2004,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,楊仁煌,4,台灣團結聯盟,1,,99,N,,未當選,N,elctks_檔別合計
2004,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,蔡中涵,3,親民黨,1,,99,Y,,未當選,N,elctks_檔別合計
2004,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,林正二,3,親民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2004,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,瓦歷斯．貝林,7,無黨團結聯盟,1,,99,Y,,未當選,N,elctks_檔別合計
2004,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,曾華德,1,中國國民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2004,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,李秀琴,99,無,2,,99,N,,未當選,N,elctks_檔別合計
2004,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,伍新國,99,無,1,,99,N,,未當選,N,elctks_檔別合計
2004,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,高金素梅,7,無黨團結聯盟,2,,99,Y,*,當選,Y,elctks_檔別合計
2004,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,陳道明,2,民主進步黨,1,,99,Y,,未當選,N,elctks_檔別合計
2004,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,孔文吉,1,中國國民黨,1,,99,N,*,當選,Y,elctks_檔別合計
2004,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,林文生,4,台灣團結聯盟,1,,99,N,,未當選,N,elctks_檔別合計
2004,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,林春德,3,親民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
2008,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,林正二,90,親民黨,1,57,57,Y,*,當選,Y,elctks_檔別合計
2008,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,廖國棟,1,中國國民黨,1,54,54,Y,*,當選,Y,elctks_檔別合計
2008,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,宋進財,999,無黨籍及未經政黨推薦,1,58,58,N,,未當選,N,elctks_檔別合計
2008,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,陳秀惠,16,民主進步黨,2,46,46,Y,,未當選,N,elctks_檔別合計
2008,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,楊仁福,1,中國國民黨,1,66,66,Y,*,當選,Y,elctks_檔別合計
2008,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,薛宜蓁,73,公民黨,2,29,29,N,,未當選,N,elctks_檔別合計
2008,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,孔文吉,1,中國國民黨,1,51,51,Y,*,當選,Y,elctks_檔別合計
2008,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,簡東明,1,中國國民黨,1,57,57,N,*,當選,Y,elctks_檔別合計
2008,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,侯金助,16,民主進步黨,1,52,52,N,,未當選,N,elctks_檔別合計
2008,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,高金素梅,106,無黨團結聯盟,2,43,43,Y,*,當選,Y,elctks_檔別合計
2008,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,林春德,90,親民黨,1,61,61,Y,,未當選,N,elctks_檔別合計
2008,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,宋仁和,134,制憲聯盟,1,55,55,N,,未當選,N,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,廖國棟,1,中國國民黨,1,57,57,Y,*,當選,Y,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,洪國治,999,無黨籍及未經政黨推薦,1,50,50,N,,未當選,N,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,忠仁．達祿斯,999,無黨籍及未經政黨推薦,1,51,51,N,,未當選,N,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,林金瑛,195,中華民國臺灣基本法連線,2,68,68,N,,未當選,N,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,詹金福,999,無黨籍及未經政黨推薦,1,63,63,N,,未當選,N,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,林正二,90,親民黨,1,60,60,Y,*,當選,Y,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,陳連順,166,台灣主義黨,1,55,55,N,,未當選,N,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,馬躍‧比吼 Mayaw‧Biho,999,無黨籍及未經政黨推薦,1,43,43,N,,未當選,N,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,鄭天財 Sra．Kacaw,1,中國國民黨,1,56,56,N,*,當選,Y,elctks_檔別合計
2012,L2,立法委員(平地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,10,笛布斯．顗賚,999,無黨籍及未經政黨推薦,2,40,40,N,,未當選,N,elctks_檔別合計
2012,L3,立法委員(山地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,曾智勇,16,民主進步黨,1,50,50,N,,未當選,N,elctks_檔別合計
2012,L3,立法委員(山地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,高金素梅,106,無黨團結聯盟,2,47,47,Y,*,當選,Y,elctks_檔別合計
2012,L3,立法委員(山地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,邱文生,999,無黨籍及未經政黨推薦,1,62,62,N,,未當選,N,elctks_檔別合計
2012,L3,立法委員(山地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,孔文吉,1,中國國民黨,1,55,55,Y,*,當選,Y,elctks_檔別合計
2012,L3,立法委員(山地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,瓦歷斯‧貝林 Walis‧Perin,90,親民黨,1,60,60,N,,未當選,N,elctks_檔別合計
2012,L3,立法委員(山地原住民)選舉,2012,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,簡東明 Uliw．Qaljupayare,1,中國國民黨,1,61,61,Y,*,當選,Y,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,達摩．阿雄,999,無黨籍及未經政黨推薦,1,52,52,N,,未當選,N,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,達佶祐‧卡造 Takiyo‧Kacaw,258,軍公教聯盟黨,1,46,46,N,,未當選,N,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,林昊宜,90,親民黨,2,33,33,N,,未當選,N,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,鄭天財 Sra．Kacaw,1,中國國民黨,1,59,59,Y,*,當選,Y,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,馬躍‧比吼 Mayaw‧Biho,999,無黨籍及未經政黨推薦,1,46,46,N,,未當選,N,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,柯荏耀,999,無黨籍及未經政黨推薦,1,37,37,N,,未當選,N,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,林光義,234,台灣第一民族黨,1,54,54,N,,未當選,N,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,吳國譽 Rahic Amind,268,民國黨,1,34,34,N,,未當選,N,elctks_檔別合計
2016,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,林金瑛,189,健保免費連線,2,71,71,N,,未當選,N,elctks_檔別合計
